id,approvedName,bioType,proteinAnnotations.functions,reactome
ENSG00000113263,IL2 inducible T cell kinase,protein_coding,"[""Tyrosine kinase that plays an essential role in regulation of the adaptive immune response. Regulates the development, function and differentiation of conventional T-cells and nonconventional NKT-cells. When antigen presenting cells (APC) activate T-cell receptor (TCR), a series of phosphorylation lead to the recruitment of ITK to the cell membrane, in the vicinity of the stimulated TCR receptor, where it is phosphorylated by LCK. Phosphorylation leads to ITK autophosphorylation and full activation. Once activated, phosphorylates PLCG1, leading to the activation of this lipase and subsequent cleavage of its substrates. In turn, the endoplasmic reticulum releases calcium in the cytoplasm and the nuclear activator of activated T-cells (NFAT) translocates into the nucleus to perform its transcriptional duty. Phosphorylates 2 essential adapter proteins: the linker for activation of T-cells/LAT protein and LCP2. Then, a large number of signaling molecules such as VAV1 are recruited and ultimately lead to lymphokine production, T-cell proliferation and differentiation (PubMed:12186560, PubMed:12682224, PubMed:21725281). Required for TCR-mediated calcium response in gamma-delta T-cells, may also be involved in the modulation of the transcriptomic signature in the Vgamma2-positive subset of immature gamma-delta T-cells (By similarity). Phosphorylates TBX21 at 'Tyr-530' and mediates its interaction with GATA3 (By similarity).""]",['R-HSA-202433' 'R-HSA-2871809']
ENSG00000113327,gamma-aminobutyric acid type A receptor subunit gamma2,protein_coding,"['Ligand-gated chloride channel which is a component of the heteropentameric receptor for GABA, the major inhibitory neurotransmitter in the brain (PubMed:2538761, PubMed:29950725). Plays an important role in the formation of functional inhibitory GABAergic synapses in addition to mediating synaptic inhibition as a GABA-gated ion channel (PubMed:23909897, PubMed:25489750, PubMed:27864268). The gamma2 subunit is necessary but not sufficient for a rapid formation of active synaptic contacts and the synaptogenic effect of this subunit is influenced by the type of alpha and beta subunits present in the receptor pentamer (By similarity). The alpha1/beta2/gamma2 receptor and the alpha1/beta3/gamma2 receptor exhibit synaptogenic activity (PubMed:23909897, PubMed:25489750). The alpha2/beta2/gamma2 receptor exhibits synatogenic activity whereas the alpha2/beta3/gamma2 receptor shows very little or no synaptogenic activity (By similarity). Functions also as histamine receptor and mediates cellular responses to histamine (By similarity).']",['R-HSA-1236394' 'R-HSA-977443']
ENSG00000116329,opioid receptor delta 1,protein_coding,"['G-protein coupled receptor that functions as receptor for endogenous enkephalins and for a subset of other opioids. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling leads to the inhibition of adenylate cyclase activity. Inhibits neurotransmitter release by reducing calcium ion currents and increasing potassium ion conductance. Plays a role in the perception of pain and in opiate-mediated analgesia. Plays a role in developing analgesic tolerance to morphine.']",['R-HSA-375276' 'R-HSA-418594' 'R-HSA-6785807']
ENSG00000116745,retinoid isomerohydrolase RPE65,protein_coding,"['Critical isomerohydrolase in the retinoid cycle involved in regeneration of 11-cis-retinal, the chromophore of rod and cone opsins. Catalyzes the cleavage and isomerization of all-trans-retinyl fatty acid esters to 11-cis-retinol which is further oxidized by 11-cis retinol dehydrogenase to 11-cis-retinal for use as visual chromophore (PubMed:16116091). Essential for the production of 11-cis retinal for both rod and cone photoreceptors (PubMed:17848510). Also capable of catalyzing the isomerization of lutein to meso-zeaxanthin an eye-specific carotenoid (PubMed:28874556). The soluble form binds vitamin A (all-trans-retinol), making it available for LRAT processing to all-trans-retinyl ester. The membrane form, palmitoylated by LRAT, binds all-trans-retinyl esters, making them available for IMH (isomerohydrolase) processing to all-cis-retinol. The soluble form is regenerated by transferring its palmitoyl groups onto 11-cis-retinol, a reaction catalyzed by LRAT (By similarity).']",['R-HSA-2453902']
ENSG00000117400,"MPL proto-oncogene, thrombopoietin receptor",protein_coding,['Receptor for thrombopoietin that acts as a primary regulator of megakaryopoiesis and platelet production. May represent a regulatory molecule specific for TPO-R-dependent immune responses.'],['R-HSA-76009']
ENSG00000126218,coagulation factor X,protein_coding,"['Factor Xa is a vitamin K-dependent glycoprotein that converts prothrombin to thrombin in the presence of factor Va, calcium and phospholipid during blood clotting.']","['R-HSA-140834' 'R-HSA-140837' 'R-HSA-140875' 'R-HSA-159740'
 'R-HSA-159763' 'R-HSA-159782' 'R-HSA-9672383' 'R-HSA-9672396'
 'R-HSA-9673202']"
ENSG00000127922,SEM1 26S proteasome subunit,protein_coding,"['Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair (PubMed:15117943). Component of the TREX-2 complex (transcription and export complex 2), composed of at least ENY2, GANP, PCID2, SEM1, and either centrin CETN2 or CETN3 (PubMed:22307388). The TREX-2 complex functions in docking export-competent ribonucleoprotein particles (mRNPs) to the nuclear entrance of the nuclear pore complex (nuclear basket). TREX-2 participates in mRNA export and accurate chromatin positioning in the nucleus by tethering genes to the nuclear periphery. Binds and stabilizes BRCA2 and is thus involved in the control of R-loop-associated DNA damage and thus transcription-associated genomic instability. R-loop accumulation increases in SEM1-depleted cells.']","['R-HSA-1169091' 'R-HSA-1234176' 'R-HSA-1236974' 'R-HSA-1236978'
 'R-HSA-174084' 'R-HSA-174113' 'R-HSA-174154' 'R-HSA-174178'
 'R-HSA-174184' 'R-HSA-180534' 'R-HSA-180585' 'R-HSA-187577'
 'R-HSA-195253' 'R-HSA-202424' 'R-HSA-211733' 'R-HSA-2467813'
 'R-HSA-2871837' 'R-HSA-349425' 'R-HSA-350562' 'R-HSA-382556'
 'R-HSA-450408' 'R-HSA-4608870' 'R-HSA-4641257' 'R-HSA-4641258'
 'R-HSA-5358346' 'R-HSA-5362768' 'R-HSA-5607761' 'R-HSA-5607764'
 'R-HSA-5610780' 'R-HSA-5610783' 'R-HSA-5610785' 'R-HSA-5632684'
 'R-HSA-5658442' 'R-HSA-5668541' 'R-HSA-5676590' 'R-HSA-5678895'
 'R-HSA-5687128' 'R-HSA-5689603' 'R-HSA-5689880' 'R-HSA-68827'
 'R-HSA-68949' 'R-HSA-69017' 'R-HSA-69481' 'R-HSA-69601' 'R-HSA-75815'
 'R-HSA-8852276' 'R-HSA-8854050' 'R-HSA-8939236' 'R-HSA-8939902'
 'R-HSA-8941858' 'R-HSA-8948751' 'R-HSA-8951664' 'R-HSA-9010553'
 'R-HSA-9020702' 'R-HSA-9604323' 'R-HSA-983168']"
ENSG00000133742,carbonic anhydrase 1,protein_coding,['Reversible hydration of carbon dioxide. Can hydrates cyanamide to urea.'],['R-HSA-1237044' 'R-HSA-1247673' 'R-HSA-1475029' 'R-HSA-8950505']
ENSG00000134259,nerve growth factor,protein_coding,"['Nerve growth factor is important for the development and maintenance of the sympathetic and sensory nervous systems (PubMed:14976160, PubMed:20978020). Extracellular ligand for the NTRK1 and NGFR receptors, activates cellular signaling cascades to regulate neuronal proliferation, differentiation and survival (PubMed:20978020) (Probable). The immature NGF precursor (proNGF) functions as ligand for the heterodimeric receptor formed by SORCS2 and NGFR, and activates cellular signaling cascades that lead to inactivation of RAC1 and/or RAC2, reorganization of the actin cytoskeleton and neuronal growth cone collapse. In contrast to mature NGF, the precursor form (proNGF) promotes neuronal apoptosis (in vitro) (By similarity). Inhibits metalloproteinase-dependent proteolysis of platelet glycoprotein VI (PubMed:20164177). Binds lysophosphatidylinositol and lysophosphatidylserine between the two chains of the homodimer. The lipid-bound form promotes histamine relase from mast cells, contrary to the lipid-free form (By similarity).']","['R-HSA-167021' 'R-HSA-167044' 'R-HSA-167060' 'R-HSA-170968'
 'R-HSA-170984' 'R-HSA-177504' 'R-HSA-187042' 'R-HSA-187706'
 'R-HSA-193648' 'R-HSA-193670' 'R-HSA-193681' 'R-HSA-198203'
 'R-HSA-198745' 'R-HSA-205017' 'R-HSA-205025' 'R-HSA-205043'
 'R-HSA-209543' 'R-HSA-209560' 'R-HSA-209563']"
ENSG00000138823,microsomal triglyceride transfer protein,protein_coding,"['Catalyzes the transport of triglyceride, cholesteryl ester, and phospholipid between phospholipid surfaces (PubMed:23475612, PubMed:8939939, PubMed:26224785, PubMed:25108285, PubMed:22236406, PubMed:16478722, PubMed:15897609, PubMed:8876250). Required for the assembly and secretion of plasma lipoproteins that contain apolipoprotein B (PubMed:23475612, PubMed:8939939, PubMed:26224785, PubMed:8876250, PubMed:16478722). May be involved in regulating cholesteryl ester biosynthesis in cells that produce lipoproteins (By similarity).']",['R-HSA-8866423' 'R-HSA-8963888']
ENSG00000145545,steroid 5 alpha-reductase 1,protein_coding,['Converts testosterone into 5-alpha-dihydrotestosterone and progesterone or corticosterone into their corresponding 5-alpha-3-oxosteroids. It plays a central role in sexual differentiation and androgen physiology.'],['R-HSA-193048']
ENSG00000145692,betaine--homocysteine S-methyltransferase,protein_coding,"['Involved in the regulation of homocysteine metabolism. Converts betaine and homocysteine to dimethylglycine and methionine, respectively. This reaction is also required for the irreversible oxidation of choline.']",['R-HSA-1614635' 'R-HSA-6798163']
ENSG00000146648,epidermal growth factor receptor,protein_coding,"['Receptor tyrosine kinase binding ligands of the EGF family and activating several signaling cascades to convert extracellular cues into appropriate cellular responses (PubMed:2790960, PubMed:10805725, PubMed:27153536). Known ligands include EGF, TGFA/TGF-alpha, AREG, epigen/EPGN, BTC/betacellulin, epiregulin/EREG and HBEGF/heparin-binding EGF (PubMed:2790960, PubMed:7679104, PubMed:8144591, PubMed:9419975, PubMed:15611079, PubMed:12297049, PubMed:27153536, PubMed:20837704, PubMed:17909029). Ligand binding triggers receptor homo- and/or heterodimerization and autophosphorylation on key cytoplasmic residues. The phosphorylated receptor recruits adapter proteins like GRB2 which in turn activates complex downstream signaling cascades. Activates at least 4 major downstream signaling cascades including the RAS-RAF-MEK-ERK, PI3 kinase-AKT, PLCgamma-PKC and STATs modules (PubMed:27153536). May also activate the NF-kappa-B signaling cascade (PubMed:11116146). Also directly phosphorylates other proteins like RGS16, activating its GTPase activity and probably coupling the EGF receptor signaling to the G protein-coupled receptor signaling (PubMed:11602604). Also phosphorylates MUC1 and increases its interaction with SRC and CTNNB1/beta-catenin (PubMed:11483589). Positively regulates cell migration via interaction with CCDC88A/GIV which retains EGFR at the cell membrane following ligand stimulation, promoting EGFR signaling which triggers cell migration (PubMed:20462955). Plays a role in enhancing learning and memory performance (By similarity).'
 'Isoform 2 may act as an antagonist of EGF action.'
 '(Microbial infection) Acts as a receptor for hepatitis C virus (HCV) in hepatocytes and facilitates its cell entry. Mediates HCV entry by promoting the formation of the CD81-CLDN1 receptor complexes that are essential for HCV entry and by enhancing membrane fusion of cells expressing HCV envelope glycoproteins.']","['R-HSA-1227986' 'R-HSA-1236382' 'R-HSA-1236394' 'R-HSA-1250196'
 'R-HSA-1251932' 'R-HSA-1257604' 'R-HSA-177929' 'R-HSA-179812'
 'R-HSA-180292' 'R-HSA-180336' 'R-HSA-182971' 'R-HSA-1963640'
 'R-HSA-1963642' 'R-HSA-212718' 'R-HSA-2179392' 'R-HSA-2219530'
 'R-HSA-445144' 'R-HSA-5637810' 'R-HSA-5638303' 'R-HSA-5673001'
 'R-HSA-6785631' 'R-HSA-6811558' 'R-HSA-8847993' 'R-HSA-8856825'
 'R-HSA-8856828' 'R-HSA-8857538' 'R-HSA-8863795' 'R-HSA-8866910'
 'R-HSA-9009391' 'R-HSA-9013507' 'R-HSA-9609690' 'R-HSA-9634638'
 'R-HSA-9664565' 'R-HSA-9665348' 'R-HSA-9665686']"
ENSG00000155760,frizzled class receptor 7,protein_coding,"['Receptor for Wnt proteins. Most frizzled receptors are coupled to the beta-catenin canonical signaling pathway, which leads to the activation of disheveled proteins, inhibition of GSK-3 kinase, nuclear accumulation of beta-catenin and activation of Wnt target genes. A second signaling pathway involving PKC and calcium fluxes has been seen for some family members, but it is not yet clear if it represents a distinct pathway or if it can be integrated in the canonical pathway, as PKC seems to be required for Wnt-mediated inactivation of GSK-3 kinase. Both pathways seem to involve interactions with G-proteins. Activation by WNT8 induces expression of beta-catenin target genes (By similarity). Following ligand activation, binds to CCDC88C/DAPLE which displaces DVL1 from FZD7 and leads to inhibition of canonical Wnt signaling, activation of G-proteins by CCDC88C and triggering of non-canonical Wnt responses (PubMed:26126266). May be involved in transduction and intercellular transmission of polarity information during tissue morphogenesis and/or in differentiated tissues.'
 '(Microbial infection) Acts as a receptor for C.difficile toxin TcdB in the colonic epithelium.']",['R-HSA-373080' 'R-HSA-4086400' 'R-HSA-4608870' 'R-HSA-9673324']
ENSG00000159377,proteasome 20S subunit beta 4,protein_coding,"['Non-catalytic component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP-dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing proteins whose functions are no longer required. Associated with the PA200 or PA28, the 20S proteasome mediates ubiquitin-independent protein degradation. This type of proteolysis is required in several pathways including spermatogenesis (20S-PA200 complex) or generation of a subset of MHC class I-presented antigenic peptides (20S-PA28 complex). SMAD1/OAZ1/PSMB4 complex mediates the degradation of the CREBBP/EP300 repressor SNIP1.']","['R-HSA-1169091' 'R-HSA-1234176' 'R-HSA-1236974' 'R-HSA-1236978'
 'R-HSA-174084' 'R-HSA-174113' 'R-HSA-174154' 'R-HSA-174178'
 'R-HSA-174184' 'R-HSA-180534' 'R-HSA-180585' 'R-HSA-187577'
 'R-HSA-195253' 'R-HSA-202424' 'R-HSA-211733' 'R-HSA-2467813'
 'R-HSA-2871837' 'R-HSA-349425' 'R-HSA-350562' 'R-HSA-382556'
 'R-HSA-450408' 'R-HSA-4608870' 'R-HSA-4641257' 'R-HSA-4641258'
 'R-HSA-5358346' 'R-HSA-5362768' 'R-HSA-5607761' 'R-HSA-5607764'
 'R-HSA-5610780' 'R-HSA-5610783' 'R-HSA-5610785' 'R-HSA-5632684'
 'R-HSA-5658442' 'R-HSA-5668541' 'R-HSA-5676590' 'R-HSA-5678895'
 'R-HSA-5687128' 'R-HSA-5689603' 'R-HSA-5689880' 'R-HSA-68827'
 'R-HSA-68949' 'R-HSA-69017' 'R-HSA-69481' 'R-HSA-69601' 'R-HSA-75815'
 'R-HSA-8852276' 'R-HSA-8854050' 'R-HSA-8939236' 'R-HSA-8939902'
 'R-HSA-8941858' 'R-HSA-8948751' 'R-HSA-8951664' 'R-HSA-9010553'
 'R-HSA-9020702' 'R-HSA-9604323' 'R-HSA-983168']"
ENSG00000164305,caspase 3,protein_coding,"[""Involved in the activation cascade of caspases responsible for apoptosis execution (PubMed:7596430). At the onset of apoptosis it proteolytically cleaves poly(ADP-ribose) polymerase (PARP) at a '216-Asp-|-Gly-217' bond (PubMed:7774019). Cleaves and activates sterol regulatory element binding proteins (SREBPs) between the basic helix-loop-helix leucine zipper domain and the membrane attachment domain. Cleaves and activates caspase-6, -7 and -9 (PubMed:7596430). Involved in the cleavage of huntingtin (PubMed:8696339). Triggers cell adhesion in sympathetic neurons through RET cleavage (PubMed:21357690). Cleaves and inhibits serine/threonine-protein kinase AKT1 in response to oxidative stress (PubMed:23152800).""]","['R-HSA-111459' 'R-HSA-111463' 'R-HSA-111464' 'R-HSA-111465'
 'R-HSA-111469' 'R-HSA-140342' 'R-HSA-1474228' 'R-HSA-2028269'
 'R-HSA-205025' 'R-HSA-211736' 'R-HSA-264870' 'R-HSA-351906'
 'R-HSA-418889' 'R-HSA-449836']"
ENSG00000164692,collagen type I alpha 2 chain,protein_coding,['Type I collagen is a member of group I collagen (fibrillar forming collagen).'],"['R-HSA-114604' 'R-HSA-1442490' 'R-HSA-1474244' 'R-HSA-1650814'
 'R-HSA-198933' 'R-HSA-2022090' 'R-HSA-202733' 'R-HSA-216083'
 'R-HSA-2214320' 'R-HSA-2243919' 'R-HSA-3000170' 'R-HSA-3000171'
 'R-HSA-3000178' 'R-HSA-3000480' 'R-HSA-430116' 'R-HSA-6785807'
 'R-HSA-75892' 'R-HSA-76009' 'R-HSA-8874081' 'R-HSA-8948216']"
ENSG00000166483,WEE1 G2 checkpoint kinase,protein_coding,"[""Acts as a negative regulator of entry into mitosis (G2 to M transition) by protecting the nucleus from cytoplasmically activated cyclin B1-complexed CDK1 before the onset of mitosis by mediating phosphorylation of CDK1 on 'Tyr-15'. Specifically phosphorylates and inactivates cyclin B1-complexed CDK1 reaching a maximum during G2 phase and a minimum as cells enter M phase. Phosphorylation of cyclin B1-CDK1 occurs exclusively on 'Tyr-15' and phosphorylation of monomeric CDK1 does not occur. Its activity increases during S and G2 phases and decreases at M phase when it is hyperphosphorylated. A correlated decrease in protein level occurs at M/G1 phase, probably due to its degradation.""]","['R-HSA-156711' 'R-HSA-69202' 'R-HSA-69273' 'R-HSA-69478' 'R-HSA-69656'
 'R-HSA-75035' 'R-HSA-983231']"
ENSG00000166501,protein kinase C beta,protein_coding,"[""Calcium-activated, phospholipid- and diacylglycerol (DAG)-dependent serine/threonine-protein kinase involved in various cellular processes such as regulation of the B-cell receptor (BCR) signalosome, oxidative stress-induced apoptosis, androgen receptor-dependent transcription regulation, insulin signaling and endothelial cells proliferation. Plays a key role in B-cell activation by regulating BCR-induced NF-kappa-B activation. Mediates the activation of the canonical NF-kappa-B pathway (NFKB1) by direct phosphorylation of CARD11/CARMA1 at 'Ser-559', 'Ser-644' and 'Ser-652'. Phosphorylation induces CARD11/CARMA1 association with lipid rafts and recruitment of the BCL10-MALT1 complex as well as MAP3K7/TAK1, which then activates IKK complex, resulting in nuclear translocation and activation of NFKB1. Plays a direct role in the negative feedback regulation of the BCR signaling, by down-modulating BTK function via direct phosphorylation of BTK at 'Ser-180', which results in the alteration of BTK plasma membrane localization and in turn inhibition of BTK activity (PubMed:11598012). Involved in apoptosis following oxidative damage: in case of oxidative conditions, specifically phosphorylates 'Ser-36' of isoform p66Shc of SHC1, leading to mitochondrial accumulation of p66Shc, where p66Shc acts as a reactive oxygen species producer. Acts as a coactivator of androgen receptor (AR)-dependent transcription, by being recruited to AR target genes and specifically mediating phosphorylation of 'Thr-6' of histone H3 (H3T6ph), a specific tag for epigenetic transcriptional activation that prevents demethylation of histone H3 'Lys-4' (H3K4me) by LSD1/KDM1A (PubMed:20228790). In insulin signaling, may function downstream of IRS1 in muscle cells and mediate insulin-dependent DNA synthesis through the RAF1-MAPK/ERK signaling cascade. Participates in the regulation of glucose transport in adipocytes by negatively modulating the insulin-stimulated translocation of the glucose transporter SLC2A4/GLUT4. Phosphorylates SLC2A1/GLUT1, promoting glucose uptake by SLC2A1/GLUT1 (PubMed:25982116). Under high glucose in pancreatic beta-cells, is probably involved in the inhibition of the insulin gene transcription, via regulation of MYC expression. In endothelial cells, activation of PRKCB induces increased phosphorylation of RB1, increased VEGFA-induced cell proliferation, and inhibits PI3K/AKT-dependent nitric oxide synthase (NOS3/eNOS) regulation by insulin, which causes endothelial dysfunction. Also involved in triglyceride homeostasis (By similarity). Phosphorylates ATF2 which promotes cooperation between ATF2 and JUN, activating transcription (PubMed:19176525).""]","['R-HSA-114516' 'R-HSA-1169091' 'R-HSA-416993' 'R-HSA-418597'
 'R-HSA-4419969' 'R-HSA-5099900' 'R-HSA-5218921' 'R-HSA-5668599'
 'R-HSA-76005' 'R-HSA-8939246']"
ENSG00000168065,solute carrier family 22 member 11,protein_coding,"['Mediates saturable uptake of estrone sulfate, dehydroepiandrosterone sulfate and related compounds.']",['R-HSA-561048']
ENSG00000168522,"farnesyltransferase, CAAX box, alpha",protein_coding,['Essential subunit of both the farnesyltransferase and the geranylgeranyltransferase complex. Contributes to the transfer of a farnesyl or geranylgeranyl moiety from farnesyl or geranylgeranyl diphosphate to a cysteine at the fourth position from the C-terminus of several proteins having the C-terminal sequence Cys-aliphatic-aliphatic-X. May positively regulate neuromuscular junction development downstream of MUSK via its function in RAC1 prenylation and activation.'],['R-HSA-111465' 'R-HSA-2514859' 'R-HSA-9648002']
ENSG00000168539,cholinergic receptor muscarinic 1,protein_coding,"['The muscarinic acetylcholine receptor mediates various cellular responses, including inhibition of adenylate cyclase, breakdown of phosphoinositides and modulation of potassium channels through the action of G proteins. Primary transducing effect is Pi turnover.']",['R-HSA-390648' 'R-HSA-416476']
ENSG00000169418,natriuretic peptide receptor 1,protein_coding,['Receptor for the atrial natriuretic peptide NPPA/ANP and the brain natriuretic peptide NPPB/BNP which are potent vasoactive hormones playing a key role in cardiovascular homeostasis. Has guanylate cyclase activity upon binding of the ligand.'],['R-HSA-5578768']
ENSG00000171105,insulin receptor,protein_coding,"['Receptor tyrosine kinase which mediates the pleiotropic actions of insulin. Binding of insulin leads to phosphorylation of several intracellular substrates, including, insulin receptor substrates (IRS1, 2, 3, 4), SHC, GAB1, CBL and other signaling intermediates. Each of these phosphorylated proteins serve as docking proteins for other signaling proteins that contain Src-homology-2 domains (SH2 domain) that specifically recognize different phosphotyrosine residues, including the p85 regulatory subunit of PI3K and SHP2. Phosphorylation of IRSs proteins lead to the activation of two main signaling pathways: the PI3K-AKT/PKB pathway, which is responsible for most of the metabolic actions of insulin, and the Ras-MAPK pathway, which regulates expression of some genes and cooperates with the PI3K pathway to control cell growth and differentiation. Binding of the SH2 domains of PI3K to phosphotyrosines on IRS1 leads to the activation of PI3K and the generation of phosphatidylinositol-(3, 4, 5)-triphosphate (PIP3), a lipid second messenger, which activates several PIP3-dependent serine/threonine kinases, such as PDPK1 and subsequently AKT/PKB. The net effect of this pathway is to produce a translocation of the glucose transporter SLC2A4/GLUT4 from cytoplasmic vesicles to the cell membrane to facilitate glucose transport. Moreover, upon insulin stimulation, activated AKT/PKB is responsible for: anti-apoptotic effect of insulin by inducing phosphorylation of BAD; regulates the expression of gluconeogenic and lipogenic enzymes by controlling the activity of the winged helix or forkhead (FOX) class of transcription factors. Another pathway regulated by PI3K-AKT/PKB activation is mTORC1 signaling pathway which regulates cell growth and metabolism and integrates signals from insulin. AKT mediates insulin-stimulated protein synthesis by phosphorylating TSC2 thereby activating mTORC1 pathway. The Ras/RAF/MAP2K/MAPK pathway is mainly involved in mediating cell growth, survival and cellular differentiation of insulin. Phosphorylated IRS1 recruits GRB2/SOS complex, which triggers the activation of the Ras/RAF/MAP2K/MAPK pathway. In addition to binding insulin, the insulin receptor can bind insulin-like growth factors (IGFI and IGFII). Isoform Short has a higher affinity for IGFII binding. When present in a hybrid receptor with IGF1R, binds IGF1. PubMed:12138094 shows that hybrid receptors composed of IGF1R and INSR isoform Long are activated with a high affinity by IGF1, with low affinity by IGF2 and not significantly activated by insulin, and that hybrid receptors composed of IGF1R and INSR isoform Short are activated by IGF1, IGF2 and insulin. In contrast, PubMed:16831875 shows that hybrid receptors composed of IGF1R and INSR isoform Long and hybrid receptors composed of IGF1R and INSR isoform Short have similar binding characteristics, both bind IGF1 and have a low affinity for insulin. In adipocytes, inhibits lipolysis (By similarity).']","['R-HSA-6811558' 'R-HSA-74713' 'R-HSA-74749' 'R-HSA-74751' 'R-HSA-74752'
 'R-HSA-77387']"
ENSG00000171189,glutamate ionotropic receptor kainate type subunit 1,protein_coding,"['Ionotropic glutamate receptor. L-glutamate acts as an excitatory neurotransmitter at many synapses in the central nervous system. Binding of the excitatory neurotransmitter L-glutamate induces a conformation change, leading to the opening of the cation channel, and thereby converts the chemical signal to an electrical impulse. The receptor then desensitizes rapidly and enters a transient inactive state, characterized by the presence of bound agonist. May be involved in the transmission of light information from the retina to the hypothalamus.']",['R-HSA-451307' 'R-HSA-451308']
ENSG00000173511,vascular endothelial growth factor B,protein_coding,['Growth factor for endothelial cells. VEGF-B167 binds heparin and neuropilin-1 whereas the binding to neuropilin-1 of VEGF-B186 is regulated by proteolysis.'],['R-HSA-114608' 'R-HSA-194313' 'R-HSA-195399']
ENSG00000175868,calcitonin related polypeptide beta,protein_coding,"['CGRP induces vasodilation. It dilates a variety of vessels including the coronary, cerebral and systemic vasculature. Its abundance in the CNS also points toward a neurotransmitter or neuromodulator role.']",['R-HSA-418555' 'R-HSA-419812' 'R-HSA-9660821']
ENSG00000176387,hydroxysteroid 11-beta dehydrogenase 2,protein_coding,"['Catalyzes the conversion of cortisol to the inactive metabolite cortisone. Modulates intracellular glucocorticoid levels, thus protecting the nonselective mineralocorticoid receptor from occupation by glucocorticoids.']",['R-HSA-194002']
ENSG00000176890,thymidylate synthetase,protein_coding,['Contributes to the de novo mitochondrial thymidylate biosynthesis pathway.'],['R-HSA-499943' 'R-HSA-69205']
ENSG00000182326,complement C1s,protein_coding,"['C1s B chain is a serine protease that combines with C1q and C1r to form C1, the first component of the classical pathway of the complement system. C1r activates C1s so that it can, in turn, activate C2 and C4.']",['R-HSA-166663' 'R-HSA-173623' 'R-HSA-977606']
ENSG00000182578,colony stimulating factor 1 receptor,protein_coding,"['Tyrosine-protein kinase that acts as cell-surface receptor for CSF1 and IL34 and plays an essential role in the regulation of survival, proliferation and differentiation of hematopoietic precursor cells, especially mononuclear phagocytes, such as macrophages and monocytes. Promotes the release of proinflammatory chemokines in response to IL34 and CSF1, and thereby plays an important role in innate immunity and in inflammatory processes. Plays an important role in the regulation of osteoclast proliferation and differentiation, the regulation of bone resorption, and is required for normal bone and tooth development. Required for normal male and female fertility, and for normal development of milk ducts and acinar structures in the mammary gland during pregnancy. Promotes reorganization of the actin cytoskeleton, regulates formation of membrane ruffles, cell adhesion and cell migration, and promotes cancer cell invasion. Activates several signaling pathways in response to ligand binding, including the ERK1/2 and the JNK pathway (PubMed:20504948, PubMed:30982609). Phosphorylates PIK3R1, PLCG2, GRB2, SLA2 and CBL. Activation of PLCG2 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate, that then lead to the activation of protein kinase C family members, especially PRKCD. Phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinositol 3-kinase, leads to activation of the AKT1 signaling pathway. Activated CSF1R also mediates activation of the MAP kinases MAPK1/ERK2 and/or MAPK3/ERK1, and of the SRC family kinases SRC, FYN and YES1. Activated CSF1R transmits signals both via proteins that directly interact with phosphorylated tyrosine residues in its intracellular domain, or via adapter proteins, such as GRB2. Promotes activation of STAT family members STAT3, STAT5A and/or STAT5B. Promotes tyrosine phosphorylation of SHC1 and INPP5D/SHIP-1. Receptor signaling is down-regulated by protein phosphatases, such as INPP5D/SHIP-1, that dephosphorylate the receptor and its downstream effectors, and by rapid internalization of the activated receptor. In the central nervous system, may play a role in the development of microglia macrophages (PubMed:30982608).']",['R-HSA-449836' 'R-HSA-8853884']
ENSG00000185324,cyclin dependent kinase 10,protein_coding,['Cyclin-dependent kinase that phosphorylates the transcription factor ETS2 (in vitro) and positively controls its proteasomal degradation (in cells) (PubMed:24218572). Involved in the regulation of actin cytoskeleton organization through the phosphorylation of actin dynamics regulators such as PKN2. Is a negative regulator of ciliogenesis through phosphorylation of PKN2 and promotion of RhoA signaling (PubMed:27104747).'],[]
ENSG00000186090,5-hydroxytryptamine receptor 3D,protein_coding,"['This is one of the several different receptors for 5-hydroxytryptamine (serotonin), a biogenic hormone that functions as a neurotransmitter, a hormone, and a mitogen. This receptor is a ligand-gated ion channel, which when activated causes fast, depolarizing responses. It is a cation-specific, but otherwise relatively nonselective, ion channel.']",['R-HSA-112314']
ENSG00000187010,Rh blood group D antigen,protein_coding,['May be part of an oligomeric complex which is likely to have a transport or channel function in the erythrocyte membrane.'],['R-HSA-9037628']
